C:\Schneider\Soft\py\opc\venv\Scripts\python.exe C:/Schneider/Soft/py/opc/main.py
['Saturn.OPC.LanMon']
None
print(name, value, quality, time)
200.10.1.112 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.113 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.114 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.115 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.116 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.117 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.118 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.119 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.120 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.1 25.90243148803711 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.2 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.3 25.114492416381836 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.4 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.5 0.5001000165939331 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.6 0.5001000165939331 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.7 0.5001000165939331 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.8 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.9 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.10 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.11 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.12 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.13 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.14 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.15 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.16 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.17 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.18 -0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.19 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.20 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.21 3090.731519281864 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.22 106.7224081158638 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.23 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.24 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.25 3035.3594738543034 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.26 105.89035427570343 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.27 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.28 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.29 58.07235849648714 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.30 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.31 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.32 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.33 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.34 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.35 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.36 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.37 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.38 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.39 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.40 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.41 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.42 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.43 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.44 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.45 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.46 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.47 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.48 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.49 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.50 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.51 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.52 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.53 25.90243148803711 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.54 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.55 25.114492416381836 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.56 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.57 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.58 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.59 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.60 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.61 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.62 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.63 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.64 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.65 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.66 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.67 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.68 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.69 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.70 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.71 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.72 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.73 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.74 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.75 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.76 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.77 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.78 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.79 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.80 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.81 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.82 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.83 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.84 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.85 0.5001000165939331 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.86 0.5001000165939331 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.87 0.5001000165939331 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.88 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.89 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.90 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.91 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.92 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.93 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.94 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.95 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.96 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.97 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.98 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.2.99 0.0 Good 2022-06-17 10:26:41.861000+00:00
